101 EQSim_Input_Geometry_2 4
111 FM3_1, ZENGBB output
112 Kevin Milner
113 Feb 22, 2016
202 18256 32.840794 -116.15967 -6600.007 3236.34 0
202 18257 32.834568 -116.124115 -9900.007 0.0 0
202 18258 32.838356 -116.122536 -13199.993 0.0 0
202 18259 32.847984 -116.15522 -13199.993 3236.34 0
202 18260 32.844196 -116.1568 -9900.007 3236.34 0
202 18261 32.833965 -116.16572 -0.016577432 3236.34 1
202 18262 32.83722 -116.16262 -3299.9834 3236.34 0
202 18263 32.855373 -116.189705 -3299.9834 6472.68 0
202 18264 32.852116 -116.192795 -0.016577432 6472.68 3
202 18265 32.837368 -116.16285 -3300.0166 3236.34 0
202 18266 32.840626 -116.15975 -6599.9834 3236.34 0
202 18267 32.85878 -116.18684 -6599.9834 6472.68 0
202 18268 32.855522 -116.189926 -3300.0166 6472.68 0
202 18269 32.840775 -116.15998 -6600.0166 3236.34 0
202 18270 32.84403 -116.15689 -9899.983 3236.34 0
202 18271 32.862183 -116.18397 -9899.983 6472.68 0
202 18272 32.85893 -116.187065 -6600.0166 6472.68 0
202 18273 32.844177 -116.15711 -9900.017 3236.34 0
202 18274 32.847435 -116.15402 -13199.983 3236.34 0
202 18275 32.86559 -116.1811 -13199.983 6472.68 0
202 18276 32.86233 -116.1842 -9900.017 6472.68 0
204 4562 18245 18246 18247 18248 -161.3753 6.0565705E-11 0.2 289.31653 82.301895 1
204 4563 18249 18250 18251 18252 -161.3753 6.0565705E-11 0.2 289.31735 82.301926 1
204 4564 18253 18254 18255 18256 -161.3753 6.0565705E-11 0.2 289.3182 82.301956 1
204 4565 18257 18258 18259 18260 -161.3753 6.0565705E-11 0.2 289.31906 82.30198 1
204 4566 18261 18262 18263 18264 -161.3753 6.0565705E-11 0.2 308.58508 82.009315 1
204 4567 18265 18266 18267 18268 -161.3753 6.0565705E-11 0.2 308.58673 82.00932 1
204 4568 18269 18270 18271 18272 -161.3753 6.0565705E-11 0.2 308.5884 82.00932 1
204 4569 18273 18274 18275 18276 -161.3753 6.0565705E-11 0.2 308.5901 82.00932 1
201 515 Elsinore_Coyote_Mountains_Subsection_3 32 0 8 32.85215 32.90981 -116.23676 -116.18037 -13199.979 -0.021291113 0.0 6472.68 103
202 18277 32.85215 -116.192635 -0.021291113 0.0 2
202 18278 32.854774 -116.18897 -3299.9788 0.0 0
202 18279 32.876926 -116.21145 -3299.9788 3236.34 0
202 18280 32.874302 -116.21511 -0.021291113 3236.34 1
202 18281 32.855556 -116.189766 -3300.0212 0.0 0
202 18282 32.858177 -116.186104 -6599.9785 0.0 0
202 18283 32.88033 -116.20858 -6599.9785 3236.34 0
202 18284 32.87771 -116.21224 -3300.0212 3236.34 0
202 18285 32.85896 -116.1869 -6600.021 0.0 0
202 18286 32.861584 -116.183235 -9899.979 0.0 0
202 18287 32.883736 -116.20571 -9899.979 3236.34 0
202 18288 32.881115 -116.20937 -6600.021 3236.34 0
202 18289 32.862366 -116.18403 -9900.0205 0.0 0
202 18290 32.864986 -116.18037 -13199.979 0.0 0
202 18291 32.887142 -116.20284 -13199.979 3236.34 0
202 18292 32.884518 -116.206505 -9900.0205 3236.34 0
202 18293 32.87436 -116.21512 -0.021823421 3236.34 1
202 18294 32.87686 -116.21139 -3299.978 3236.34 0
202 18295 32.899593 -116.23303 -3299.978 6472.68 0
202 18296 32.897087 -116.23676 -0.021823421 6472.68 3
