101 EQSim_Input_Geometry_2 2
102 End_Metadata
202 29050 34.1458 -118.373 -13840 3165.53 0
202 29051 34.1526 -118.339 -13840 3165.53 0
202 29052 34.1416 -118.335 -10380 3165.53 0
202 29053 34.1457 -118.372 -13840 6331.06 0
202 29054 34.1567 -118.375 -17300 3165.53 0
202 29055 34.1636 -118.342 -17300 3165.53 0
202 29056 34.1526 -118.339 -13840 3165.53 0
204 7255 29017 29018 29019 29020 28.94 3.07994e-11 0 0 109.996 1
204 7256 29021 29022 29023 29024 28.94 3.07994e-11 0 0 109.836 1
204 7257 29025 29026 29027 29028 28.94 3.07994e-11 0 0 109.995 1
204 7258 29029 29030 29031 29032 28.94 3.07994e-11 0 0 109.83 1
204 7259 29033 29034 29035 29036 28.94 3.07994e-11 0 0 109.834 1
204 7260 29037 29038 29039 29040 28.94 3.07994e-11 0 0 109.93 1
204 7261 29041 29042 29043 29044 28.94 3.07994e-11 0 0 110.239 1
204 7262 29045 29046 29047 29048 28.94 3.07994e-11 0 0 109.926 1
204 7263 29049 29050 29051 29052 28.94 3.07994e-11 0 0 110.239 1
204 7264 29053 29054 29055 29056 28.94 3.07994e-11 0 0 109.928 1
201 871 Hollywood_Subsection_0 40 0 10 34.1134 34.1766 -118.308 -118.224 -17300 -0.0178552 0 6331.06 108
202 29057 34.1175 -118.258 -0.0178552 3165.53 1
202 29058 34.1286 -118.26 -3459.98 0 0
202 29059 34.1327 -118.226 -3459.98 0 0
202 29060 34.1216 -118.224 -0.0178552 0 2
202 29061 34.1285 -118.261 -3460.02 3165.53 0
202 29062 34.1396 -118.263 -6919.98 0 0
202 29063 34.1437 -118.229 -6919.98 0 0
202 29064 34.1326 -118.227 -3460.02 0 0
202 29065 34.1394 -118.265 -6920.02 3165.53 0
202 29066 34.1506 -118.267 -10380 0 0
202 29067 34.1547 -118.233 -10380 0 0
202 29068 34.1435 -118.231 -6920.02 0 0
202 29069 34.1504 -118.268 -10380 3165.53 0
202 29070 34.1615 -118.27 -13840 0 0
202 29071 34.1656 -118.236 -13840 0 0
202 29072 34.1545 -118.234 -10380 0 0
202 29073 34.1613 -118.272 -13840 3165.53 0
202 29074 34.1725 -118.274 -17300 0 0
202 29075 34.1766 -118.24 -17300 0 0
202 29076 34.1654 -118.238 -13840 0 0
202 29077 34.1134 -118.292 -0.0179199 6331.06 3
202 29078 34.1246 -118.294 -3459.98 3165.53 0
202 29079 34.1287 -118.26 -3459.98 3165.53 0
202 29080 34.1175 -118.258 -0.0179199 3165.53 1
202 29081 34.1244 -118.295 -3460.02 6331.06 0
202 29082 34.1355 -118.297 -6919.98 3165.53 0
202 29083 34.1396 -118.263 -6919.98 3165.53 0
202 29084 34.1285 -118.261 -3460.02 3165.53 0
202 29085 34.1353 -118.299 -6920.02 6331.06 0
202 29086 34.1465 -118.301 -10380 3165.53 0
202 29087 34.1506 -118.267 -10380 3165.53 0
202 29088 34.1394 -118.265 -6920.02 3165.53 0
202 29089 34.1463 -118.302 -10380 6331.06 0
202 29090 34.1574 -118.304 -13840 3165.53 0
202 29091 34.1615 -118.27 -13840 3165.53 0
202 29092 34.1504 -118.268 -10380 3165.53 0
202 29093 34.1572 -118.306 -13840 6331.06 0
202 29094 34.1684 -118.308 -17300 3165.53 0
202 29095 34.1725 -118.274 -17300 3165.53 0
202 29096 34.1613 -118.272 -13840 3165.53 0
204 7265 29057 29058 29059 29060 28.94 3.07994e-11 0 0 109.84 1
204 7266 29061 29062 29063 29064 28.94 3.07994e-11 0 0 109.84 1
204 7267 29065 29066 29067 29068 28.94 3.07994e-11 0 0 109.999 1
204 7268 29069 29070 29071 29072 28.94 3.07994e-11 0 0 109.839 1
204 7269 29073 29074 29075 29076 28.94 3.07994e-11 0 0 109.999 1
204 7270 29077 29078 29079 29080 28.94 3.07994e-11 0 0 109.999 1
204 7271 29081 29082 29083 29084 28.94 3.07994e-11 0 0 109.833 1
204 7272 29085 29086 29087 29088 28.94 3.07994e-11 0 0 109.999 1
204 7273 29089 29090 29091 29092 28.94 3.07994e-11 0 0 109.839 1
204 7274 29093 29094 29095 29096 28.94 3.07994e-11 0 0 109.999 1
201 875 Homestead_Valley_2011_Subsection_0 32 0 8 34.1598 34.2216 -116.347 -116.314 -15900 -0 0 7618.44 723
202 29241 34.1598 -116.314 -0 3809.22 1
202 29242 34.1598 -116.314 -3975 0 0
202 29243 34.1915 -116.329 -3975 0 0
202 29244 34.1915 -116.329 -0 0 2
202 29245 34.1598 -116.314 -3975 3809.22 0
202 29246 34.1598 -116.314 -7950 0 0
202 29247 34.1915 -116.329 -7950 0 0
202 29248 34.1915 -116.329 -3975 0 0
202 29249 34.1598 -116.314 -7950 3809.22 0
202 29250 34.1598 -116.314 -11925 0 0
202 29251 34.1915 -116.329 -11925 0 0
202 29252 34.1915 -116.329 -7950 0 0
202 29253 34.1598 -116.314 -11925 3809.22 0
202 29254 34.1598 -116.314 -15900 0 0
202 29255 34.1915 -116.329 -15900 0 0
202 29256 34.1915 -116.329 -11925 0 0
202 29257 34.1909 -116.329 -0 7618.44 3
202 29258 34.1909 -116.329 -3975 3809.22 0
202 29259 34.2216 -116.347 -3975 3809.22 0
202 29260 34.2216 -116.347 -0 3809.22 1
202 29261 34.1909 -116.329 -3975 7618.44 0
202 29262 34.1909 -116.329 -7950 3809.22 0
202 29263 34.2216 -116.347 -7950 3809.22 0
202 29264 34.2216 -116.347 -3975 3809.22 0
202 29265 34.1909 -116.329 -7950 7618.44 0
202 29266 34.1909 -116.329 -11925 3809.22 0
202 29267 34.2216 -116.347 -11925 3809.22 0
202 29268 34.2216 -116.347 -7950 3809.22 0
202 29269 34.1909 -116.329 -11925 7618.44 0
202 29270 34.1909 -116.329 -15900 3809.22 0
202 29271 34.2216 -116.347 -15900 3809.22 0
202 29272 34.2216 -116.347 -11925 3809.22 0
204 7311 29241 29242 29243 29244 -162.582 1.69492e-11 0 0 90 1
204 7312 29245 29246 29247 29248 -162.582 1.69492e-11 0 0 90 1
204 7313 29249 29250 29251 29252 -162.582 1.69492e-11 0 0 90 1
204 7314 29253 29254 29255 29256 -162.582 1.69492e-11 0 0 90 1
204 7315 29257 29258 29259 29260 -162.582 1.69492e-11 0 0 90 1
204 7316 29261 29262 29263 29264 -162.582 1.69492e-11 0 0 90 1
204 7317 29265 29266 29267 29268 -162.582 1.69492e-11 0 0 90 1
204 7318 29269 29270 29271 29272 -162.582 1.69492e-11 0 0 90 1
201 876 Homestead_Valley_2011_Subsection_1 32 0 8 34.221 34.2769 -116.394 -116.347 -15900 -0 0 7618.44 723
202 29273 34.221 -116.347 -0 3809.22 1
202 29274 34.221 -116.347 -3975 0 0
202 29275 34.2475 -116.373 -3975 0 0
202 29276 34.2475 -116.373 -0 0 2
202 29277 34.221 -116.347 -3975 3809.22 0
202 29278 34.221 -116.347 -7950 0 0
202 29279 34.2475 -116.373 -7950 0 0
202 29280 34.2475 -116.373 -3975 0 0
202 29281 34.221 -116.347 -7950 3809.22 0
202 29282 34.221 -116.347 -11925 0 0
202 29283 34.2475 -116.373 -11925 0 0
202 29284 34.2475 -116.373 -7950 0 0
202 29285 34.221 -116.347 -11925 3809.22 0
202 29286 34.221 -116.347 -15900 0 0
202 29287 34.2475 -116.373 -15900 0 0
202 29288 34.2475 -116.373 -11925 0 0
202 29289 34.2474 -116.373 -0 7618.44 3
202 29290 34.2474 -116.373 -3975 3809.22 0
202 29291 34.2769 -116.394 -3975 3809.22 0
202 29292 34.2769 -116.394 -0 3809.22 1
202 29293 34.2474 -116.373 -3975 7618.44 0
202 29294 34.2474 -116.373 -7950 3809.22 0
202 29295 34.2769 -116.394 -7950 3809.22 0
202 29296 34.2769 -116.394 -3975 3809.22 0
202 29297 34.2474 -116.373 -7950 7618.44 0
202 29298 34.2474 -116.373 -11925 3809.22 0
202 29299 34.2769 -116.394 -11925 3809.22 0
202 29300 34.2769 -116.394 -7950 3809.22 0
202 29301 34.2474 -116.373 -11925 7618.44 0
202 29302 34.2474 -116.373 -15900 3809.22 0
202 29303 34.2769 -116.394 -15900 3809.22 0
202 29304 34.2769 -116.394 -11925 3809.22 0
204 7319 29273 29274 29275 29276 -162.582 1.69492e-11 0 0 90 1
204 7320 29277 29278 29279 29280 -162.582 1.69492e-11 0 0 90 1
204 7321 29281 29282 29283 29284 -162.582 1.69492e-11 0 0 90 1
204 7322 29285 29286 29287 29288 -162.582 1.69492e-11 0 0 90 1
204 7323 29289 29290 29291 29292 -162.582 1.69492e-11 0 0 90 1
204 7324 29293 29294 29295 29296 -162.582 1.69492e-11 0 0 90 1
204 7325 29297 29298 29299 29300 -162.582 1.69492e-11 0 0 90 1
204 7326 29301 29302 29303 29304 -162.582 1.69492e-11 0 0 90 1
201 877 Homestead_Valley_2011_Subsection_2 32 0 8 34.2768 34.3348 -116.434 -116.394 -15900 -0 0 7618.44 723
202 29305 34.2768 -116.394 -0 3809.22 1
202 29306 34.2768 -116.394 -3975 0 0
202 29307 34.3089 -116.408 -3975 0 0
202 29308 34.3089 -116.408 -0 0 2
202 29309 34.2768 -116.394 -3975 3809.22 0
202 29310 34.2768 -116.394 -7950 0 0
202 29311 34.3089 -116.408 -7950 0 0
202 29312 34.3089 -116.408 -3975 0 0
202 29313 34.2768 -116.394 -7950 3809.22 0
202 29314 34.2768 -116.394 -11925 0 0
202 29315 34.3089 -116.408 -11925 0 0
202 29316 34.3089 -116.408 -7950 0 0
202 29317 34.2768 -116.394 -11925 3809.22 0
202 29318 34.2768 -116.394 -15900 0 0
202 29319 34.3089 -116.408 -15900 0 0
202 29320 34.3089 -116.408 -11925 0 0
202 29321 34.3084 -116.408 -0 7618.44 3
202 29322 34.3084 -116.408 -3975 3809.22 0
202 29323 34.3348 -116.434 -3975 3809.22 0
202 29324 34.3348 -116.434 -0 3809.22 1
202 29325 34.3084 -116.408 -3975 7618.44 0
202 29326 34.3084 -116.408 -7950 3809.22 0
202 29327 34.3348 -116.434 -7950 3809.22 0
